id,name,type,stock_code,market,description,source
company_688539_sh,高华科技,company,688539.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002414_sz,高德红外,company,002414.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688698_sh,伟创电气,company,688698.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603416_sh,信捷电气,company,603416.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_003021_sz,兆威机电,company,003021.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002402_sz,和而泰,company,002402.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002747_sz,埃斯顿,company,002747.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002249_sz,大洋电机,company,002249.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603350_sh,安乃达,company,603350.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002801_sz,微光股份,company,002801.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_605555_sh,德昌股份,company,605555.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002139_sz,拓邦股份,company,002139.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002196_sz,方正电机,company,002196.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688160_sh,步科股份,company,688160.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300124_sz,汇川技术,company,300124.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002176_sz,江特电机,company,002176.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300660_sz,江苏雷利,company,300660.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688320_sh,禾川科技,company,688320.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002979_sz,雷赛智能,company,002979.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603728_sh,鸣志电器,company,603728.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002896_sz,中大力德,company,002896.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_920608_bj,丰安股份,company,920608.BJ,北证,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002553_sz,南方精工,company,002553.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002472_sz,双环传动,company,002472.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002164_sz,宁波东力,company,002164.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002031_sz,巨轮智能,company,002031.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002527_sz,新时达,company,002527.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300503_sz,昊志机电,company,300503.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688017_sh,绿的谐波,company,688017.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301255_sz,通力科技,company,301255.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002779_sz,中坚科技,company,002779.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002698_sz,博实股份,company,002698.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688165_sh,埃夫特,company,688165.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002009_sz,天奇股份,company,002009.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300607_sz,拓斯达,company,300607.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300024_sz,机器人,company,300024.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688169_sh,石头科技,company,688169.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603486_sh,科沃斯,company,603486.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301236_sz,软通动力,company,301236.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688135_sh,利扬芯片,company,688135.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002185_sz,华天科技,company,002185.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600460_sh,士兰微,company,600460.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002077_sz,大港股份,company,002077.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603005_sh,晶方科技,company,603005.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688216_sh,气派科技,company,688216.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688403_sh,汇成股份,company,688403.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_000021_sz,深科技,company,000021.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688362_sh,甬矽电子,company,688362.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688521_sh,芯原股份,company,688521.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002156_sz,通富微电,company,002156.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600584_sh,长电科技,company,600584.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688352_sh,颀中科技,company,688352.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301387_sz,光大同创,company,301387.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603296_sh,华勤技术,company,603296.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_000049_sz,德赛电池,company,000049.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301489_sz,思泉新材,company,301489.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603890_sh,春秋电子,company,603890.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300207_sz,欣旺达,company,300207.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002241_sz,歌尔股份,company,002241.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002273_sz,水晶光电,company,002273.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603327_sh,福蓉科技,company,603327.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301209_sz,英力股份,company,301209.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300433_sz,蓝思科技,company,300433.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300115_sz,长盈精密,company,300115.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301389_sz,隆扬电子,company,301389.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002600_sz,领益智造,company,002600.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603341_sh,龙旗科技,company,603341.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300496_sz,中科创达,company,300496.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603596_sh,伯特利,company,603596.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301221_sz,光庭信息,company,301221.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600741_sh,华域汽车,company,600741.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
